,A,B,C,D,E,F,G
A,,60.0,83.0,35.5,56.7,94.5,49.0
B,63.0,,35.0,46.0,57.7,84.5,49.5
C,44.5,71.5,,25.0,42.5,82.0,31.5
D,82.5,78.5,89.5,,70.0,93.5,71.5
E,73.0,72.0,79.5,44.0,,94.0,59.0
F,21.5,27.0,32.5,18.5,19.0,,14.5
G,73.5,69.5,84.5,59.0,68.5,96.5,
