,A,B,C,D,E,F,G
A,,58.6,75.8,42.7,48.3,82.6,44.1
B,60.7,,33.0,41.8,51.5,71.8,51.4
C,47.3,67.9,,29.8,37.9,73.3,34.5
D,71.8,71.1,76.0,,66.5,83.7,66.5
E,68.6,62.4,68.3,43.5,,81.9,55.6
F,21.7,29.2,34.2,21.7,21.7,,20.9
G,71.5,62.2,77.5,53.0,65.6,87.6,
