,A,B,C,D,E,F,G
A,,63.4,72.9,46.8,50.3,77.1,48.0
B,60.4,,31.4,48.2,50.9,69.6,56.9
C,47.4,68.0,,39.0,41.2,72.1,41.8
D,71.2,72.0,71.8,,66.3,81.5,64.9
E,67.8,60.1,68.5,47.8,,79.1,56.6
F,26.9,31.9,39.9,28.4,27.0,,30.3
G,71.7,63.0,74.4,53.4,65.0,83.1,
