,A,B,C,D,E,F,G
A,,66.1,79.3,42.0,57.6,89.0,52.6
B,62.4,,32.7,52.8,55.7,82.0,56.7
C,45.2,71.6,,35.8,45.0,81.2,40.2
D,82.2,80.1,84.7,,69.6,93.3,69.1
E,71.9,68.0,79.9,48.8,,92.9,59.8
F,26.4,30.4,39.2,25.8,24.8,,25.3
G,73.8,70.1,80.8,58.6,67.5,92.7,
