,A,B,C,D,E,F,G
A,,69.5,87.5,40.0,53.7,92.5,48.4
B,67.0,,24.0,44.5,55.3,86.5,58.5
C,45.5,78.0,,27.0,38.0,85.0,32.5
D,87.0,84.5,89.5,,74.0,95.0,74.0
E,79.0,71.5,83.5,44.5,,94.5,60.5
F,15.5,21.5,30.5,15.5,15.5,,14.5
G,81.5,73.0,88.5,57.0,73.0,95.0,
